Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brunei Darussalam,23.9391584,19.94596747,19.03843121,17.63975916,16.21590995,16.11873557,15.98629121,16.22160675,16.51128957,11.98314583,14.14342743,13.25380109,12.62579373,12.99511737,13.90557072,13.70929354,13.13240048,22.44413479,24.03617354,20.47909645,21.10681443,24.62749182,24.22676314,19.29518002,22.2291779,,,,
Bhutan,0.241793581,0.3498051,0.40476431,0.344257186,0.399863131,0.466417268,0.55533414,0.711188326,0.675732711,0.666287696,0.670087865,0.637855344,0.678613287,0.601588942,0.482186549,0.610470467,0.596840632,0.590138612,0.627898805,0.573033791,0.711464428,1.057842371,1.165565585,1.295927562,1.392229534,,,,
Botswana,2.100304176,1.987883033,2.038486191,2.285470049,2.114703091,2.074143022,1.832610502,1.81871107,2.122257308,1.963003582,2.300613874,2.299158405,2.334035534,2.207306512,2.207851253,2.276743421,2.253041002,2.256363909,2.35260558,1.925951294,2.358418906,2.072396971,2.074828234,2.535297323,3.367451334,,,,
Central African Republic,0.070551039,0.071339711,0.0731111,0.073432718,0.074860248,0.072824403,0.07094059,0.07242259,0.071746964,0.074205442,0.073532858,0.066009622,0.064618813,0.060468193,0.059266517,0.058114364,0.060551681,0.060272129,0.059209298,0.058332152,0.060186452,0.063071953,0.066125464,0.066778524,0.067357126,,,,
Canada,15.71554138,15.22180457,15.54314788,15.5337111,15.75307185,15.95907715,16.1910295,16.56173401,16.79757271,16.95288535,17.41463895,17.01842806,16.56039221,17.47884132,17.28827609,17.28759686,16.69635141,16.85532052,16.8745152,15.96140637,15.72334502,15.64133183,14.90621636,14.7410813,15.15892722,,,,
Central Europe and the Baltics,9.014576307,8.239720868,7.895818277,7.840458097,7.357291279,7.546965762,7.677150928,7.491943317,7.070462092,6.696470004,6.603843282,6.831019607,6.76524677,7.006337569,6.93263217,6.987992003,7.252183061,7.279801806,7.157192095,6.515508665,6.828033565,6.864349465,6.504366995,6.344838262,6.14888254,,,,
Switzerland,6.345085168,6.280297083,6.224236273,5.873423831,5.90858368,5.571316975,5.640102519,5.849483122,5.865651918,5.696073665,5.435484985,5.93984844,5.586512817,5.474267138,5.46256894,5.558350382,5.592175318,5.03057402,5.283044324,5.377973641,4.983428945,4.672038363,4.723574287,4.972835876,4.311562994,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,2.509652817,2.321075596,2.367010235,2.483157938,2.689741811,2.90282435,3.324776296,3.814010139,3.84848448,4.056171947,3.833506699,3.43772838,3.517039182,3.508135131,3.73249299,3.82001803,3.963081057,4.333797151,4.300340466,3.956216401,4.234476106,4.59822558,4.653625241,4.736431087,4.6490622,,,,
China,2.151570906,2.229439639,2.309463675,2.442800659,2.565993892,2.755754966,2.844309582,2.820567891,2.67674598,2.648649247,2.696862433,2.742120813,3.007083197,3.524074093,4.037990651,4.523178064,4.980314197,5.334909929,5.701915025,6.010102433,6.560520007,7.241515419,7.424750916,7.557211045,7.543907641,,,,
