Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Curacao,0,0,0,0.096968998,0.081382537,0.080581862,0.081862977,0.081762955,0.078676188,0.075462531,0.072376341,0.27880796,0.266924824,0.271912927,0.266028625,0.260307721,0.254083166,0.245525806,0.241213546,0.248549943,0.243917905,0.241650877,0.357017933,0.355516897,0.348989719,0.347766268,,,
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cyprus,0.495929367,0.365810347,0.34709919,0.334859875,0.723186986,3.35429847,3.357069083,3.294070781,3.262168212,3.226642523,3.096656827,3.047474962,3.176415342,3.257164098,3.304328057,3.364850973,3.514238327,4.355311326,5.493663997,5.978516167,6.353225599,7.415751985,8.338900172,9.495930361,9.363295684,9.942066016,,,
Czech Republic,3.571507027,3.97518245,5.900118202,5.817441516,5.907756675,5.302877728,5.241574228,5.648484534,5.966940712,6.477149481,5.941129661,6.286779916,7.275512199,6.723767201,7.114114965,7.512847343,7.858287725,8.292580278,8.955101345,10.21416204,10.91771998,12.12060346,12.76281601,13.92371891,14.83074209,14.82856195,,,
Germany,2.098033775,1.988632809,2.062621895,2.110931085,2.266202061,2.319748996,2.252173834,2.824421822,3.045118906,3.263712146,3.70043759,3.89967279,4.412636787,5.058467425,5.825244433,6.764551009,7.753224656,9.406587903,8.592248257,9.63006157,10.29351964,11.39435591,12.01513573,12.08907875,13.37887823,14.2062527,,,
Djibouti,26.59282984,27.205443,28.17450585,29.05074092,30.95444828,31.17413291,32.02656213,31.55959518,31.94989459,32.6810786,31.44321909,31.67507575,32.44465089,32.8812777,33.62121202,33.09458499,33.00677657,32.52392592,33.14345831,33.31297992,34.43334712,34.44418956,34.06582999,34.01482168,34.15104745,15.38059522,,,
Dominica,14.60310056,14.50519587,14.4936266,13.63053081,13.52708613,15.64742183,20.84830851,15.51731238,15.00513746,14.07680977,11.03438624,9.385703609,13.57514728,10.53800289,9.992137618,9.598865134,8.635726645,7.746908726,7.458132913,8.163871468,8.910212018,11.47552161,9.732876925,9.880580289,8.611797666,7.82979664,,,
Denmark,7.041559801,7.070898966,7.747445467,7.701496592,7.330399327,7.512178032,7.2611811,8.102729547,8.517843392,9.066353468,10.73720082,11.12359996,11.86587915,12.72030738,14.44906977,16.12639783,15.26712374,17.70092817,18.54925469,19.34276393,21.35483646,23.89896727,27.28195688,27.3428386,30.27163128,33.17027717,,,
Dominican Republic,28.01157941,28.16324308,25.35685792,26.848086,24.43897354,22.3363448,20.31094881,18.2511336,19.751092,19.53729021,18.42361063,18.47771494,15.91488943,18.67395827,20.54181092,19.33479238,18.43070758,18.21930595,17.93756023,17.55006763,16.97540917,17.24293489,17.04545885,17.50936425,18.01902034,16.48010921,,,
Algeria,0.177228303,0.323692176,0.289771221,0.476341507,0.403959587,0.422480315,0.389526171,0.472147669,0.544070942,0.51001769,0.42737224,0.427684984,0.514766169,0.46909239,0.441740736,0.584727487,0.408727369,0.41140925,0.298765662,0.311808049,0.258071762,0.177339472,0.188181413,0.140451785,0.068640475,0.058958684,,,
East Asia & Pacific (excluding high income),36.99579259,36.30176645,35.94393617,34.56523412,33.91171707,32.15986855,32.73566458,32.24645772,32.13984743,32.44344259,31.86379539,30.62113556,29.49171049,26.81217588,23.38189281,21.51204478,20.44504538,18.85972645,18.203902,17.60693856,16.47181744,15.45679224,15.76478738,15.57017503,15.85261291,15.86116048,,,
Early-demographic dividend,37.07110227,36.58466256,36.46944937,36.13207709,35.07647216,34.63197346,33.87787484,33.31855537,33.11779091,32.57656534,32.18641515,32.12145824,31.50532322,30.98095385,30.10279552,29.48651521,28.85286647,27.85972034,27.26458499,26.89604553,26.481427,26.29279254,25.93000266,26.17588925,25.6079937,25.55484489,,,
East Asia & Pacific,26.19625392,25.76581137,25.32860556,24.58547492,23.86137481,22.90300025,23.01284208,22.80591338,22.9490118,22.73110805,22.26304182,21.55355446,20.91659822,19.59033676,17.71104472,16.59715976,16.07571092,15.03989166,14.75164434,14.45428507,13.72944677,13.0737015,13.37594046,13.34313461,13.75344205,13.85760268,,,
Europe & Central Asia (excluding high income),4.042819308,4.145023349,4.481847481,4.868275882,5.008815491,5.125245628,5.430068338,5.662971842,5.720263257,5.83346717,5.561220636,5.446104829,5.460404931,5.31927245,5.639118136,5.706123042,5.563458076,5.482065683,5.363498903,5.947408003,6.043999224,5.563512562,5.806630061,6.38323152,6.15118411,6.478533004,,,
Europe & Central Asia,5.706920065,5.86878714,6.226813534,6.642125243,6.871973658,6.957094392,7.074421838,7.370365559,7.494509555,7.551475963,7.635816336,7.641022567,7.581176065,7.64993882,7.924246728,8.225736647,8.480539565,9.009264358,9.358635476,10.36446899,10.83314807,10.72269118,11.55027358,12.31829612,12.6175816,13.07308474,,,
Ecuador,24.19854913,24.1630989,20.80035871,21.61848328,20.85316821,20.35412872,19.29146026,16.54279275,18.19074897,21.05577975,20.03302979,18.43283475,18.05823962,17.97048489,15.97197196,12.16311542,12.97149152,12.80813413,15.08900112,13.29950509,12.1066394,13.34571557,13.10009793,12.67573312,12.21813952,13.81668594,,,
"Egypt, Arab Rep.",8.50246618,9.052034733,8.715058342,8.839282691,9.82896842,9.00303479,8.678075881,8.3447404,8.248502183,8.559742102,8.101748497,7.706704776,7.259600266,7.386988697,7.543858321,6.491867114,6.233979494,6.092949183,5.969927859,5.762878613,5.724101953,5.5846389,5.554171218,5.707898094,5.866044914,5.709377265,,,
Euro area,6.499471929,6.70947241,6.79844098,6.907459116,7.122787177,6.957956974,7.080832013,7.231070627,7.294971874,7.33186584,7.519149686,7.705223621,7.55879387,8.027852889,8.233749444,8.51943947,9.249338897,10.33718755,10.89827248,12.10542351,12.83308817,13.07253648,14.3305386,15.17948448,16.0443469,16.0832622,,,
Eritrea,,,89.82007496,83.56583446,80.09388036,77.89126842,76.37714613,77.60116716,75.0037673,76.12965999,76.78294418,74.84507415,74.82740811,75.04375271,70.09946258,74.85983684,78.56224438,80.02334858,81.89847013,81.80609533,81.24659878,80.75144845,80.22989797,80.23314394,79.9301497,79.7674723,,,
Spain,10.54443118,9.921293468,8.220908383,9.079810066,9.241375679,8.264567068,10.06199181,9.154295862,8.941412249,7.681655092,7.884334625,8.933448599,7.415104871,8.899923929,8.032087626,7.289816473,8.47220721,9.005387929,9.737202935,12.21794729,14.39578579,14.74592653,15.77095021,16.9499657,17.3517358,16.25409774,,,
Estonia,3.356078624,3.526222823,5.906591687,6.705185471,9.285196116,12.32338571,19.54482955,19.73990197,17.74648609,20.0693577,19.83711902,18.94126549,19.41578204,19.82999649,19.98714551,18.86123791,17.16307921,18.56525198,20.18899548,24.0887687,25.12989194,24.98354179,24.90855886,24.47524489,25.32605914,27.47683347,,,
Ethiopia,96.63538677,96.71128918,97.74041451,97.19865822,96.88388584,96.62013956,96.35197819,96.22085637,96.10024144,96.18948969,95.95322791,95.07856408,95.01673159,94.74581801,94.65854624,95.12657887,94.94232726,94.57412114,94.51607097,94.60484215,94.51739029,94.01290641,93.75025898,93.00085661,92.06765188,92.16346114,,,
European Union,6.12810327,6.346627887,6.615878787,6.969825634,7.083874504,7.117134177,7.157578998,7.526038844,7.635616812,7.619976821,7.920314153,7.902070715,7.852853851,8.156968957,8.424393095,8.830919694,9.387043938,10.31284175,10.98934107,12.19764634,12.96002943,13.33735643,14.48796354,15.30709158,16.22013856,16.56111224,,,
Fragile and conflict affected situations,54.10392562,55.20121528,54.30278403,53.1951645,53.00556243,52.36526397,51.59610615,51.75511235,52.81222486,51.98593229,51.94015955,51.78476549,52.58735115,54.52879817,53.60967334,52.74728294,53.19559824,53.01568448,52.4731825,52.35844534,51.48741915,52.43488134,49.94776808,50.26118658,51.73357649,53.68924484,,,
Finland,24.50843148,24.02701841,25.1233986,26.00353667,25.13194022,27.26640999,26.87055152,28.82844554,30.49796922,30.2360817,31.6654966,29.23751726,29.51055909,28.34380294,31.08881395,31.51334983,31.24329278,31.79294837,34.7310271,32.59873157,33.58206418,35.25797986,38.80266701,38.47970587,41.23524065,43.23526259,,,
Fiji,53.09400578,60.06656714,58.58567621,59.00613691,63.77672905,60.06116039,59.71412872,54.96202209,49.79259898,56.05448416,52.87580823,45.15542407,51.29542075,45.82400906,38.95259112,43.60480534,41.40969268,38.03799773,45.54938428,34.98531728,29.61248725,33.92513188,32.7872442,36.41806208,34.57182093,31.26394709,,,
France,10.40801913,11.01222193,11.25820176,10.86013257,10.93448888,10.70140869,10.49495357,9.985453187,9.709285885,9.779014352,9.256000137,9.395220909,8.668755527,8.847554419,8.887711893,8.596912157,8.460112829,9.321328315,10.47323036,11.22200621,11.8458733,10.91369044,12.37295876,13.47737443,13.34702464,13.49926232,,,
Faroe Islands,2.544771435,2.728308099,3.105643723,3.051959953,3.150943502,3.21403055,2.70580242,3.259648044,3.140740852,2.792078116,2.771997552,2.560085135,3.401993387,3.106530723,3.418274054,3.840075699,4.301223088,4.5440842,4.506541534,5.123149803,3.377679026,4.997063916,4.700881155,4.322601404,6.535815103,7.513580492,,,
"Micronesia, Fed. Sts.",,,1.461362285,1.551318982,1.478206168,1.405025253,1.491529559,1.4925617,1.556929335,1.226794953,1.192353649,0.800957397,1.017104329,1.024228913,1.042278715,1.10106392,1.25392354,1.209981341,1.350394967,1.146705141,1.500334041,1.427523894,1.322910871,1.24930742,1.157990361,1.196237862,,,
Gabon,78.28066537,75.15044417,74.78172263,73.80512252,72.89299679,71.94392004,71.48673745,69.97319613,69.66973571,71.34133842,72.77910829,72.42046183,79.81143402,83.62679971,85.77170893,85.24018152,86.1520426,87.34523504,87.37661781,88.09575358,85.88337354,79.76859843,75.51430637,82.22761468,81.35160969,82.00784369,,,
United Kingdom,0.651133978,0.608264131,0.840737796,0.775204971,1.021428484,1.060229099,0.943586897,1.028479689,1.029704324,0.948917657,0.961901516,0.852867466,0.970071248,0.934980337,1.13725833,1.352279738,1.553919991,1.839650772,2.782791914,3.383031663,3.638918262,4.401118621,4.751257619,6.015780949,7.395220456,8.711685574,,,
Georgia,12.77399758,14.11875079,18.54205164,26.02618776,22.7022876,46.39465091,42.75395574,44.36379605,47.52898403,49.66308742,47.25427953,53.14582182,56.75800111,55.3320075,54.53065395,41.48161199,37.21764889,36.22444801,36.30216374,36.72040611,39.14857299,31.53766065,28.69262327,34.97923359,31.89297634,28.66253881,,,
Ghana,80.62642197,82.92837888,81.00123289,81.29729113,80.55763554,79.78934678,78.82919725,78.33904479,73.57807149,72.78388842,71.61675588,69.31490977,65.67532707,64.46764194,62.37343975,61.42590768,58.55837583,54.52820098,55.86243165,49.9081594,49.77878626,48.01109666,44.48368438,44.04296471,45.04949208,41.41279431,,,
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Guinea,89.29714418,89.40823443,86.33088557,86.17826883,85.94983491,89.93027027,88.83626377,85.30773458,84.35999679,86.31689695,85.61936089,84.93259576,84.37646264,83.46498328,83.1863089,81.56374457,81.0622721,80.36471216,80.14862445,79.25049428,75.70907041,74.74868466,76.36784822,78.53290664,78.51787531,76.26839132,,,
"Gambia, The",61.44186978,61.80167206,62.93559354,62.67979763,60.98352682,59.57769467,59.07476518,58.19181491,56.93436054,55.8153443,63.13448556,59.64007843,60.6791529,60.47483809,59.84585752,60.03764144,59.2738215,56.7311878,55.74622259,53.40385892,54.70514883,54.15786592,54.21838668,56.64222686,51.93079476,51.50886249,,,
Guinea-Bissau,88.57960543,88.57252229,88.51385297,88.03747267,88.52340019,88.55112113,89.40361011,88.36343874,89.01921391,88.05840681,91.23772485,91.20715817,91.03682145,89.04779005,88.5528656,88.52678113,88.28714797,87.9049052,88.42034491,87.89475186,87.80712886,87.71512515,87.60635625,87.42242388,87.06001713,86.85179394,,,
Equatorial Guinea,84.71085961,83.95967834,84.00681275,84.45892842,83.68956438,82.48286631,76.74822553,66.02912993,68.01762394,61.8190192,52.57802237,24.10411993,15.38971821,14.82639984,12.3169889,7.858435985,6.634271745,5.684561579,6.312481341,6.09888921,5.951101818,5.644318235,5.352098458,5.958178976,7.643274898,7.822799777,,,
